84.1956 	EXP 	window1: recordFrameIntervals = True
84.2138 	EXP 	window1: recordFrameIntervals = True
84.2304 	EXP 	window1: recordFrameIntervals = True
84.2467 	EXP 	window1: recordFrameIntervals = True
84.2639 	EXP 	window1: recordFrameIntervals = True
84.2804 	EXP 	window1: recordFrameIntervals = True
84.2960 	EXP 	window1: recordFrameIntervals = True
84.3130 	EXP 	window1: recordFrameIntervals = True
84.3307 	EXP 	window1: recordFrameIntervals = True
84.3469 	EXP 	window1: recordFrameIntervals = True
84.3637 	EXP 	window1: recordFrameIntervals = True
84.3807 	EXP 	window1: recordFrameIntervals = True
84.3972 	EXP 	window1: recordFrameIntervals = True
84.4141 	EXP 	window1: recordFrameIntervals = True
84.4295 	EXP 	window1: recordFrameIntervals = True
84.4468 	EXP 	window1: recordFrameIntervals = True
84.4626 	EXP 	window1: recordFrameIntervals = True
84.4806 	EXP 	window1: recordFrameIntervals = True
84.4872 	DATA 	Keypress: escape
84.4990 	EXP 	window1: recordFrameIntervals = True
84.5135 	EXP 	window1: recordFrameIntervals = True
84.5292 	EXP 	window1: recordFrameIntervals = True
84.5451 	EXP 	window1: recordFrameIntervals = True
84.5625 	EXP 	window1: recordFrameIntervals = True
84.9708 	EXP 	window1: mouseVisible = True
