28.1128 	EXP 	window1: recordFrameIntervals = True
28.1291 	EXP 	window1: recordFrameIntervals = True
28.1470 	EXP 	window1: recordFrameIntervals = True
28.1636 	EXP 	window1: recordFrameIntervals = True
28.1799 	EXP 	window1: recordFrameIntervals = True
28.1958 	EXP 	window1: recordFrameIntervals = True
28.2132 	EXP 	window1: recordFrameIntervals = True
28.2303 	EXP 	window1: recordFrameIntervals = True
28.2464 	EXP 	window1: recordFrameIntervals = True
28.2637 	EXP 	window1: recordFrameIntervals = True
28.2803 	EXP 	window1: recordFrameIntervals = True
28.2958 	EXP 	window1: recordFrameIntervals = True
28.3124 	EXP 	window1: recordFrameIntervals = True
28.3293 	EXP 	window1: recordFrameIntervals = True
28.3467 	EXP 	window1: recordFrameIntervals = True
28.3500 	DATA 	Keypress: c
28.3625 	EXP 	window1: recordFrameIntervals = True
28.3802 	EXP 	window1: recordFrameIntervals = True
28.3962 	EXP 	window1: recordFrameIntervals = True
28.4136 	EXP 	window1: recordFrameIntervals = True
28.4294 	EXP 	window1: recordFrameIntervals = True
28.4467 	EXP 	window1: recordFrameIntervals = True
28.4636 	EXP 	Set movie playing
28.6800 	EXP 	window1: recordFrameIntervals = True
28.7032 	WARNING 	t of last frame was 239.56ms (=1/4)
28.7034 	EXP 	window1: recordFrameIntervals = True
28.7176 	EXP 	window1: recordFrameIntervals = True
28.7298 	EXP 	window1: recordFrameIntervals = True
28.7466 	EXP 	window1: recordFrameIntervals = True
28.7624 	EXP 	window1: recordFrameIntervals = True
28.7792 	EXP 	window1: recordFrameIntervals = True
28.7966 	EXP 	window1: recordFrameIntervals = True
28.8135 	EXP 	window1: recordFrameIntervals = True
28.8296 	EXP 	window1: recordFrameIntervals = True
28.8461 	EXP 	window1: recordFrameIntervals = True
28.8632 	EXP 	window1: recordFrameIntervals = True
28.8790 	EXP 	window1: recordFrameIntervals = True
28.8957 	EXP 	window1: recordFrameIntervals = True
28.9130 	EXP 	window1: recordFrameIntervals = True
28.9299 	EXP 	window1: recordFrameIntervals = True
28.9466 	EXP 	window1: recordFrameIntervals = True
28.9624 	EXP 	window1: recordFrameIntervals = True
28.9802 	EXP 	window1: recordFrameIntervals = True
28.9970 	EXP 	window1: recordFrameIntervals = True
29.0132 	EXP 	window1: recordFrameIntervals = True
29.0301 	EXP 	window1: recordFrameIntervals = True
29.0461 	EXP 	window1: recordFrameIntervals = True
29.0633 	EXP 	window1: recordFrameIntervals = True
29.0800 	EXP 	window1: recordFrameIntervals = True
29.0958 	EXP 	window1: recordFrameIntervals = True
29.1134 	EXP 	window1: recordFrameIntervals = True
29.1291 	EXP 	window1: recordFrameIntervals = True
29.1456 	EXP 	window1: recordFrameIntervals = True
29.1624 	EXP 	window1: recordFrameIntervals = True
29.1794 	EXP 	window1: recordFrameIntervals = True
29.1970 	EXP 	window1: recordFrameIntervals = True
29.2123 	EXP 	window1: recordFrameIntervals = True
29.2290 	EXP 	window1: recordFrameIntervals = True
29.2468 	EXP 	window1: recordFrameIntervals = True
29.2637 	EXP 	window1: recordFrameIntervals = True
29.2800 	EXP 	window1: recordFrameIntervals = True
29.2967 	EXP 	window1: recordFrameIntervals = True
29.3125 	EXP 	window1: recordFrameIntervals = True
29.3299 	EXP 	window1: recordFrameIntervals = True
29.3458 	EXP 	window1: recordFrameIntervals = True
29.3630 	EXP 	window1: recordFrameIntervals = True
29.3801 	EXP 	window1: recordFrameIntervals = True
29.3956 	EXP 	window1: recordFrameIntervals = True
29.4125 	EXP 	window1: recordFrameIntervals = True
29.4302 	EXP 	window1: recordFrameIntervals = True
29.4460 	EXP 	window1: recordFrameIntervals = True
29.4632 	EXP 	window1: recordFrameIntervals = True
29.4793 	EXP 	window1: recordFrameIntervals = True
29.4965 	EXP 	window1: recordFrameIntervals = True
29.5134 	EXP 	window1: recordFrameIntervals = True
29.5291 	EXP 	window1: recordFrameIntervals = True
29.5459 	EXP 	window1: recordFrameIntervals = True
29.5631 	EXP 	window1: recordFrameIntervals = True
29.5792 	EXP 	window1: recordFrameIntervals = True
29.5966 	EXP 	window1: recordFrameIntervals = True
29.6138 	EXP 	window1: recordFrameIntervals = True
29.6297 	EXP 	window1: recordFrameIntervals = True
29.6464 	EXP 	window1: recordFrameIntervals = True
29.6632 	EXP 	window1: recordFrameIntervals = True
29.6802 	EXP 	window1: recordFrameIntervals = True
29.6964 	EXP 	window1: recordFrameIntervals = True
29.7135 	EXP 	window1: recordFrameIntervals = True
29.7299 	EXP 	window1: recordFrameIntervals = True
29.7468 	EXP 	window1: recordFrameIntervals = True
29.7630 	EXP 	window1: recordFrameIntervals = True
29.7797 	EXP 	window1: recordFrameIntervals = True
29.7966 	EXP 	window1: recordFrameIntervals = True
29.8135 	EXP 	window1: recordFrameIntervals = True
29.8294 	EXP 	window1: recordFrameIntervals = True
29.8465 	EXP 	window1: recordFrameIntervals = True
29.8632 	EXP 	window1: recordFrameIntervals = True
